Código do Alimento,Nome do alimento,Código e descrição da preparação,,Energia (kcal),"Proteína
 (g)","Lipídios totais
 (g)","Carboi-
 drato
 (g)",Fibra alimentar total (g)
Cereais e leguminosas,,,,,,,,
6400601,Mandioca,7,Refogado(a),"162,74","0,57","5,26","28,6","1,52"
6400601,Mandioca,8,Molho vermelho,"104,8","0,74","0,28","25,16","1,58"
6400601,Mandioca,11,Com manteiga/óleo,"154,6","0,61","4,34","28,6","1,52"
6400601,Mandioca,13,Ensopado,"162,74","0,57","5,26","28,6","1,52"
6400601,Mandioca,15,Sopa,"31,44","0,95","0,12","7,01","0,71"
6400601,Mandioca,99,Não se aplica,125,"0,6","0,3","30,1","1,6"
6400609,Aipim,2,Cozido(a),125,"0,6","0,3","30,1","1,6"
6400609,Aipim,4,Assado(a),125,"0,6","0,3","30,1","1,6"
6400609,Aipim,5,Frito(a),"162,74","0,57","5,26","28,6","1,52"
6400609,Aipim,6,Empanado(a)/à milanesa,"162,74","0,57","5,26","28,6","1,52"
6400609,Aipim,7,Refogado(a),"162,74","0,57","5,26","28,6","1,52"
6400609,Aipim,8,Molho vermelho,"104,8","0,74","0,28","25,16","1,58"
6400609,Aipim,11,Com manteiga/óleo,"154,6","0,61","4,34","28,6","1,52"
6400609,Aipim,13,Ensopado,"162,74","0,57","5,26","28,6","1,52"
6400609,Aipim,15,Sopa,"31,44","0,95","0,12","7,01","0,71"
6400609,Aipim,99,Não se aplica,125,"0,6","0,3","30,1","1,6"
6400610,Macaxeira,1,Cru(a),125,"0,6","0,3","30,1","1,6"
6400610,Macaxeira,2,Cozido(a),125,"0,6","0,3","30,1","1,6"
6400610,Macaxeira,4,Assado(a),125,"0,6","0,3","30,1","1,6"
6400610,Macaxeira,5,Frito(a),"162,74","0,57","5,26","28,6","1,52"
6400701,Cará,2,Cozido(a),100,"1,71","0,12","23,4","1,8"
6400701,Cará,5,Frito(a),"115,74","1,71","1,9","23,4","1,8"
6400701,Cará,7,Refogado(a),"115,74","1,71","1,9","23,4","1,8"
6400701,Cará,13,Ensopado,"115,74","1,71","1,9","23,4","1,8"
6400701,Cará,14,Mingau,100,"1,71","0,12","23,4","1,8"
6400701,Cará,15,Sopa,"31,44","0,95","0,12","7,01","0,71"
6400713,Inhame caraquento (cará),2,Cozido(a),100,"1,71","0,12","23,4","1,8"
6400802,Batata (não especificada),1,Cru(a),86,"1,71","0,1","20,01","2,05"
6400802,Batata (não especificada),2,Cozido(a),86,"1,71","0,1","20,01","2,05"
6400802,Batata (não especificada),3,Grelhado(a)/brasa/churrasco,86,"1,71","0,1","20,01","2,05"
6400802,Batata (não especificada),4,Assado(a),86,"1,71","0,1","20,01","2,05"
6400802,Batata (não especificada),5,Frito(a),"263,5","2,87","13,64","33,6","3,44"
6400802,Batata (não especificada),7,Refogado(a),"111,74","1,71","3,01","20,01","2,05"
6400802,Batata (não especificada),8,Molho vermelho,"73,6","1,63","0,12","17,08","1,94"
6400802,Batata (não especificada),9,Molho branco,"101,39","2,15","2,57","17,86","1,68"
6400802,Batata (não especificada),12,Ao vinagrete,"111,74","1,71","3,01","20,01","2,05"
6400802,Batata (não especificada),13,Ensopado,"111,74","1,71","3,01","20,01","2,05"
6400802,Batata (não especificada),15,Sopa,"31,44","0,95","0,12","7,01","0,71"
6400802,Batata (não especificada),99,Não se aplica,86,"1,71","0,1","20,01","2,05"
6400908,Mandioquinha,2,Cozido(a),76,"1,37","0,14","17,72","2,5"
6400908,Mandioquinha,5,Frito(a),"116,4","1,3","5,13","16,83","2,38"
6400908,Mandioquinha,7,Refogado(a),"91,74","1,37","1,92","17,72","2,5"
6400908,Mandioquinha,13,Ensopado,"91,74","1,37","1,92","17,72","2,5"
6401001,Rabanete,1,Cru(a),16,"0,68","0,1","3,4","1,6"
6401001,Rabanete,2,Cozido(a),18,"0,6","0,1","4,1","1,6"
6401001,Rabanete,12,Ao vinagrete,18,"0,6","0,1","4,1","1,6"
6401101,Beterraba,1,Cru(a),43,"1,61","0,17","9,56","2,8"
6401101,Beterraba,2,Cozido(a),44,"1,68","0,18","9,96",2
6401101,Beterraba,7,Refogado(a),"67,62","1,68","2,85","9,96",2
6401101,Beterraba,12,Ao vinagrete,44,"1,68","0,18","9,96",2
6401101,Beterraba,15,Sopa,"31,44","0,95","0,12","7,01","0,71"
6401101,Beterraba,99,Não se aplica,43,"1,61","0,17","9,56","2,8"
6401201,Cenoura,1,Cru(a),41,"0,93","0,24","9,58","2,8"
6401201,Cenoura,2,Cozido(a),35,"0,76","0,18","8,22",3
6401201,Cenoura,5,Frito(a),"60,47","0,74","3,17","7,97","2,91"
6401201,Cenoura,7,Refogado(a),"60,47","0,74","3,17","7,97","2,91"
6401201,Cenoura,8,Molho vermelho,"32,8","0,87","0,18","7,65","2,7"
6401201,Cenoura,10,Ao alho e óleo,"60,47","0,74","3,17","7,97","2,91"
6401201,Cenoura,11,Com manteiga/óleo,"56,74","0,79","2,64","8,22",3
6401201,Cenoura,12,Ao vinagrete,35,"0,76","0,18","8,22",3
6401201,Cenoura,13,Ensopado,"60,47","0,74","3,17","7,97","2,91"
6401201,Cenoura,15,Sopa,"31,44","0,95","0,12","7,01","0,71"
6401201,Cenoura,99,Não se aplica,41,"0,93","0,24","9,58","2,8"
6401301,Nabo,2,Cozido(a),22,"0,71","0,08","5,06",2
6401301,Nabo,7,Refogado(a),"47,74","0,71","2,99","5,06",2
6401601,Açafrão,1,Cru(a),310,"11,43","5,85","65,37","3,9"
6401801,Batata-inglesa orgânica,5,Frito(a),"263,5","2,87","13,64","33,6","3,44"
"Farinhas, féculas e massas",,,,,,,,
6500101,Creme de arroz,99,Não se aplica,"148,32","3,8","3,3","26,07","0,3"
6500104,Arrozina,99,Não se aplica,"148,32","3,8","3,3","26,07","0,3"
6500105,Mucilon,99,Não se aplica,"78,24","2,42","3,06","10,46","0,17"
6500108,Mingau de arroz,99,Não se aplica,"148,32","3,8","3,3","26,07","0,3"
6500202,Croquinhos de arroz,99,Não se aplica,387,"12,94","4,54","77,9","14,5"
6500301,Farinha de aveia,99,Não se aplica,384,16,"6,3",67,"9,8"
6500401,Aveia em flocos,99,Não se aplica,384,16,"6,3",67,"9,8"
6500601,Fubá de milho,99,Não se aplica,"60,58","1,44","0,2",13,"0,26"
6500603,Farinha de milho,99,Não se aplica,351,"7,2","1,5","79,1","5,5"
6500608,Puba de milho,99,Não se aplica,311,"4,8","12,4","45,1","0,7"
6500609,Puba de fubá,99,Não se aplica,311,"4,8","12,4","45,1","0,7"
6500613,Milho moído,2,Cozido(a),"160,14","3,32","7,18","25,11","4,25"
6500614,Mingau de milho,99,Não se aplica,"78,24","2,42","3,06","10,46","0,17"
6500702,Amido de milho,99,Não se aplica,"78,24","2,42","3,06","10,46","0,17"
6500705,Amido de arroz,99,Não se aplica,"148,32","3,8","3,3","26,07","0,3"
6500801,Cremogema,99,Não se aplica,"78,24","2,42","3,06","10,46","0,17"
6500802,Vitamilho,99,Não se aplica,"128,3","4,35","0,22","26,42","1,71"
6500804,Creme de milho,99,Não se aplica,"78,24","2,42","3,06","10,46","0,17"
6500902,Sucrilhos de milho,99,Não se aplica,377,"4,7","0,7","88,8","2,1"
6500903,Cereal matinal de milho em flocos,99,Não se aplica,377,"4,7","0,7","88,8","2,1"
6501301,Germe de trigo,99,Não se aplica,360,"23,15","9,72","51,8","13,2"
6501303,Fibra de trigo,99,Não se aplica,216,"15,55","4,25","64,51","42,8"
6501304,Fibra de cereal trigo,99,Não se aplica,216,"15,55","4,25","64,51","42,8"
6501401,Farinha de mandioca,99,Não se aplica,361,"1,6","0,3","87,9","6,4"
6501410,Farinha de copioba,99,Não se aplica,361,"1,6","0,3","87,9","6,4"
6501415,Farinha d'água,99,Não se aplica,361,"1,6","0,3","87,9","6,4"
6501416,Cruera,99,Não se aplica,361,"1,6","0,3","87,9","6,4"
6501502,Goma de mandioca,99,Não se aplica,336,2,-,82,-
6501505,Sagu de mandioca,99,Não se aplica,"116,99","4,33","4,1","15,51","0,03"
6501510,Farinha de tapioca,99,Não se aplica,331,"0,5","0,3","81,1","0,6"
6501511,Farinha beiju,99,Não se aplica,331,"0,5","0,3","81,1","0,6"
6501515,Sagu de tapioca,99,Não se aplica,"116,99","4,33","4,1","15,51","0,03"
6501516,Tapioca de goma,99,Não se aplica,336,2,-,82,-
6502001,Farinha láctea,99,Não se aplica,"396,67","12,67","6,33","73,33","2,67"
6502101,Neston,99,Não se aplica,"345,8","12,92",-,"70,8","6,25"
6502102,Flocos de cereais,99,Não se aplica,365,"7,2",1,"83,8","4,1"
6502105,Vitaflocos,99,Não se aplica,"78,24","2,42","3,06","10,46","0,17"
6502403,Mini pizza semipronta,1,Cru(a),"252,49","10,17","8,22","33,73","1,75"
6502403,Mini pizza semipronta,2,Cozido(a),"252,49","10,17","8,22","33,73","1,75"
6502403,Mini pizza semipronta,4,Assado(a),"252,49","10,17","8,22","33,73","1,75"
6502403,Mini pizza semipronta,5,Frito(a),"252,49","10,17","8,22","33,73","1,75"
6502403,Mini pizza semipronta,99,Não se aplica,"252,49","10,17","8,22","33,73","1,75"
6502501,Fibra de soja,99,Não se aplica,70,12,2,74,73
6502603,Minipastel,99,Não se aplica,"319,81","10,38","15,68","33,51","1,45"
