Código do Alimento,Nome do alimento,Código e descrição da preparação,,Energia (kcal),"Proteína
 (g)","Lipídios totais
 (g)","Carboi-
 drato
 (g)",Fibra alimentar total (g)
Cereais e leguminosas,,,,,,,,
6910901,Pudim de qualquer sabor diet,99,Não se aplica,"119,15","5,68","3,55","15,75",-
6911201,Doce de leite light,99,Não se aplica,"292,29","7,58","3,62","58,98",-
6911301,Doce de leite diet,99,Não se aplica,"292,29","7,58","3,62","58,98",-
6912501,Barra de cereais diet,99,Não se aplica,"403,45","5,56","5,44","86,36","7,2"
6912502,Barra de cereais doce diet,99,Não se aplica,"403,45","5,56","5,44","86,36","7,2"
6912801,Milk shake diet,99,Não se aplica,"335,52","19,19","1,87","69,94","7,39"
6913001,Cocada diet,99,Não se aplica,"404,8","1,01","12,46","75,65","1,58"
6913101,Doce de amendoim diet,99,Não se aplica,599,"28,03","52,5","15,26","9,4"
6913103,Paçoca diet,99,Não se aplica,599,"28,03","52,5","15,26","9,4"
6913108,Amendoim amanteigado diet,99,Não se aplica,"477,86","7,09","21,64","64,64","2,96"
6913801,Doce à base de leite diet,99,Não se aplica,"292,29","7,58","3,62","58,98",-
6913901,Gelatina de qualquer sabor light,99,Não se aplica,"179,01","0,36","0,05","46,13","0,35"
6914001,Adoçante light,99,Não se aplica,365,"2,17",-,"89,08",-
6914002,Adoçante em pó light,99,Não se aplica,365,"2,17",-,"89,08",-
6914003,Adoçante liquido light,99,Não se aplica,-,-,-,-,-
Sais e condimentos,,,,,,,,
7001501,Mostarda molho,99,Não se aplica,67,"4,37","4,01","5,33","3,3"
7002304,Hortelã,99,Não se aplica,1,-,-,"0,2",-
7002401,Alcaparra em conserva,99,Não se aplica,23,"2,36","0,86","4,89","3,2"
7002601,Coentro,99,Não se aplica,279,"21,93","4,78","52,1","10,4"
7003601,Molho de soja,99,Não se aplica,53,"6,28","0,04","7,61","0,8"
7003604,Shoyo,99,Não se aplica,53,"6,28","0,04","7,61","0,8"
7003801,Leite de coco,99,Não se aplica,"202,46","1,61","20,85","5,59","0,91"
7004301,Maionese (molho),99,Não se aplica,"261,05","0,47","23,33","13,38","0,06"
7004701,Massa de tomate,99,Não se aplica,38,"1,65","0,21","8,98","1,9"
7004801,Molho de tomate,99,Não se aplica,24,"1,32","0,18","5,38","1,5"
7004802,Ketchup,99,Não se aplica,97,"1,74","0,31","25,15","0,3"
7004803,Catchup,99,Não se aplica,97,"1,74","0,31","25,15","0,3"
7006101,Pimenta em pó,99,Não se aplica,255,"10,95","3,26","64,81","26,5"
7007101,Tucupi em caldo sem pimenta,99,Não se aplica,"4,87","0,01",0,"1,3","0,01"
7007502,Creme de queijo,99,Não se aplica,"209,66","10,34","15,81","6,72","0,1"
7007701,Caldo de peixe,99,Não se aplica,16,2,"0,6","0,4",-
7007901,Caldo de tomate,99,Não se aplica,"37,65","0,75","0,78","7,39","0,46"
7009102,Gergelim,99,Não se aplica,631,"20,45","61,21","11,73","11,6"
7010301,Tomate seco,99,Não se aplica,213,"5,06","14,08","23,33","5,8"
7010401,Maionese (molho) light,99,Não se aplica,"156,58","0,59","9,46","18,77","1,24"
7010501,Molho de soja light,99,Não se aplica,"53,13","5,18","0,08","8,53","0,8"
7010601,Leite de coco light,99,Não se aplica,"202,46","1,61","20,85","5,59","0,91"
7079202,Vinagrete,99,Não se aplica,"76,79","0,65","6,21","3,68","0,93"
Carnes e vísceras,,,,,,,,
7100101,Filé-mignon,2,Cozido(a),204,"30,67",9,-,-
7100101,Filé-mignon,3,Grelhado(a)/brasa/churrasco,204,"30,67",9,-,-
7100101,Filé-mignon,4,Assado(a),204,"30,67",9,-,-
7100101,Filé-mignon,5,Frito(a),"226,66","30,67","11,56",-,-
7100101,Filé-mignon,6,Empanado(a)/à milanesa,"242,84","31,13","11,61","3,39","0,14"
7100101,Filé-mignon,7,Refogado(a),"226,66","30,67","11,56",-,-
7100101,Filé-mignon,8,Molho vermelho,168,"24,8","7,24","1,08","0,3"
7100101,Filé-mignon,9,Molho branco,"195,79","25,32","9,69","1,85","0,04"
7100101,Filé-mignon,11,Com manteiga/óleo,"223,14","30,69","11,17",0,-
7100101,Filé-mignon,99,Não se aplica,204,"30,67",9,-,-
7100201,Contrafilé,2,Cozido(a),204,"30,67",9,-,-
7100201,Contrafilé,3,Grelhado(a)/brasa/churrasco,204,"30,67",9,-,-
7100201,Contrafilé,4,Assado(a),204,"30,67",9,-,-
7100201,Contrafilé,5,Frito(a),"226,66","30,67","11,56",-,-
7100201,Contrafilé,6,Empanado(a)/à milanesa,"242,84","31,13","11,61","3,39","0,14"
7100201,Contrafilé,7,Refogado(a),"226,66","30,67","11,56",-,-
7100201,Contrafilé,8,Molho vermelho,168,"24,8","7,24","1,08","0,3"
7100205,Bisteca bovina,1,Cru(a),471,"21,57","41,98",-,-
7100205,Bisteca bovina,2,Cozido(a),471,"21,57","41,98",-,-
7100205,Bisteca bovina,3,Grelhado(a)/brasa/churrasco,471,"21,57","41,98",-,-
7100205,Bisteca bovina,4,Assado(a),471,"21,57","41,98",-,-
7100205,Bisteca bovina,5,Frito(a),471,"21,57","41,98",-,-
7100205,Bisteca bovina,6,Empanado(a)/à milanesa,"329,84","26,31","22,65","3,39","0,14"
7100205,Bisteca bovina,7,Refogado(a),471,"21,57","41,98",-,-
7100205,Bisteca bovina,8,Molho vermelho,"381,6","17,52","33,62","1,08","0,3"
7100301,Alcatra,1,Cru(a),204,"30,67",9,-,-
7100301,Alcatra,2,Cozido(a),204,"30,67",9,-,-
7100301,Alcatra,3,Grelhado(a)/brasa/churrasco,204,"30,67",9,-,-
7100301,Alcatra,4,Assado(a),204,"30,67",9,-,-
7100301,Alcatra,5,Frito(a),"253,57","30,67","14,61",-,-
7100301,Alcatra,6,Empanado(a)/à milanesa,"253,57","30,67","14,61",-,-
7100301,Alcatra,7,Refogado(a),"253,57","30,67","14,61",-,-
7100301,Alcatra,8,Molho vermelho,168,"24,8","7,24","1,08","0,3"
7100301,Alcatra,12,Ao vinagrete,204,"30,67",9,-,-
7100301,Alcatra,13,Ensopado,"253,57","30,67","14,61",-,-
7100303,Maminha,3,Grelhado(a)/brasa/churrasco,199,"36,12",5,-,-
7100303,Maminha,4,Assado(a),199,"36,12",5,-,-
7100303,Maminha,5,Frito(a),"248,57","36,12","10,61",-,-
7100303,Maminha,8,Molho vermelho,164,"29,16","4,04","1,08","0,3"
7100304,Picanha,2,Cozido(a),204,"30,67",9,-,-
7100304,Picanha,3,Grelhado(a)/brasa/churrasco,204,"30,67",9,-,-
7100304,Picanha,4,Assado(a),204,"30,67",9,-,-
7100304,Picanha,5,Frito(a),"253,57","30,67","14,61",-,-
7100304,Picanha,13,Ensopado,"253,57","30,67","14,61",-,-
7100501,Patinho,2,Cozido(a),199,"36,12",5,-,-
7100501,Patinho,3,Grelhado(a)/brasa/churrasco,199,"36,12",5,-,-
7100501,Patinho,4,Assado(a),199,"36,12",5,-,-
7100501,Patinho,5,Frito(a),"248,57","36,12","10,61",-,-
7100501,Patinho,6,Empanado(a)/à milanesa,"248,57","36,12","10,61",-,-
7100501,Patinho,8,Molho vermelho,164,"29,16","4,04","1,08","0,3"
7100501,Patinho,13,Ensopado,"248,57","36,12","10,61",-,-
7100502,Cabeça de lombo (carne bovina),2,Cozido(a),199,"36,12",5,-,-
7100502,Cabeça de lombo (carne bovina),3,Grelhado(a)/brasa/churrasco,199,"36,12",5,-,-
7100502,Cabeça de lombo (carne bovina),4,Assado(a),199,"36,12",5,-,-
7100502,Cabeça de lombo (carne bovina),5,Frito(a),"248,57","36,12","10,61",-,-
7100502,Cabeça de lombo (carne bovina),6,Empanado(a)/à milanesa,"248,57","36,12","10,61",-,-
7100502,Cabeça de lombo (carne bovina),7,Refogado(a),"248,57","36,12","10,61",-,-
7100604,Posta branca,2,Cozido(a),199,"36,12",5,-,-
7100604,Posta branca,5,Frito(a),"248,57","36,12","10,61",-,-
7100604,Posta branca,8,Molho vermelho,164,"29,16","4,04","1,08","0,3"
7100606,Tatu (lagarto redondo),2,Cozido(a),199,"36,12",5,-,-
7100606,Tatu (lagarto redondo),4,Assado(a),199,"36,12",5,-,-
7100606,Tatu (lagarto redondo),7,Refogado(a),"248,57","36,12","10,61",-,-
7100606,Tatu (lagarto redondo),99,Não se aplica,199,"36,12",5,-,-
7100607,Paulista,2,Cozido(a),199,"36,12",5,-,-
7100607,Paulista,4,Assado(a),199,"36,12",5,-,-
7100608,Lombo paulista (carne bovina),2,Cozido(a),199,"36,12",5,-,-
7100608,Lombo paulista (carne bovina),4,Assado(a),199,"36,12",5,-,-
7100608,Lombo paulista (carne bovina),5,Frito(a),"248,57","36,12","10,61",-,-
7100608,Lombo paulista (carne bovina),13,Ensopado,"248,57","36,12","10,61",-,-
7100702,Posta vermelha,2,Cozido(a),199,"36,12",5,-,-
7100801,Acém,2,Cozido(a),242,"24,22","15,42",-,-
7100801,Acém,4,Assado(a),242,"24,22","15,42",-,-
7100801,Acém,5,Frito(a),"264,66","24,22","17,98",-,-
7100801,Acém,6,Empanado(a)/à milanesa,"280,84","24,68","18,03","3,39","0,14"
7100801,Acém,7,Refogado(a),"264,66","24,22","17,98",-,-
7100801,Acém,13,Ensopado,"264,66","24,22","17,98",-,-
7100803,Agulha (acém),2,Cozido(a),242,"24,22","15,42",-,-
7100803,Agulha (acém),4,Assado(a),242,"24,22","15,42",-,-
7100803,Agulha (acém),5,Frito(a),"264,66","24,22","17,98",-,-
7100905,Paleta,2,Cozido(a),242,"24,22","15,42",-,-
7100905,Paleta,5,Frito(a),"264,66","24,22","17,98",-,-
7100905,Paleta,8,Molho vermelho,"198,4","19,64","12,37","1,08","0,3"
7100905,Paleta,13,Ensopado,"264,66","24,22","17,98",-,-
7100908,Pá com osso,2,Cozido(a),242,"24,22","15,42",-,-
7100908,Pá com osso,3,Grelhado(a)/brasa/churrasco,242,"24,22","15,42",-,-
7100908,Pá com osso,4,Assado(a),242,"24,22","15,42",-,-
7101001,Músculo bovino,2,Cozido(a),199,"36,12",5,-,-
7101001,Músculo bovino,4,Assado(a),199,"36,12",5,-,-
7101001,Músculo bovino,8,Molho vermelho,164,"29,16","4,04","1,08","0,3"
7101001,Músculo bovino,13,Ensopado,"221,66","36,12","7,56",-,-
7101001,Músculo bovino,15,Sopa,"63,94","3,81","1,81","7,73","0,39"
7101006,Chambaril,2,Cozido(a),242,"24,22","15,42",-,-
7101006,Chambaril,4,Assado(a),242,"24,22","15,42",-,-
7101006,Chambaril,7,Refogado(a),"264,66","24,22","17,98",-,-
7101009,Carne marica bovina,2,Cozido(a),199,"36,12",5,-,-
7101009,Carne marica bovina,5,Frito(a),"221,66","36,12","7,56",-,-
7101009,Carne marica bovina,7,Refogado(a),"221,66","36,12","7,56",-,-
7101011,Vazio (carne bovina),2,Cozido(a),204,"30,67",9,-,-
7101011,Vazio (carne bovina),3,Grelhado(a)/brasa/churrasco,204,"30,67",9,-,-
7101011,Vazio (carne bovina),5,Frito(a),"226,66","30,67","11,56",-,-
7101101,Peito bovino,2,Cozido(a),204,"30,67",9,-,-
7101101,Peito bovino,5,Frito(a),"226,66","30,67","11,56",-,-
7101202,Fraldinha (capa de filé),2,Cozido(a),199,"36,12",5,-,-
7101202,Fraldinha (capa de filé),3,Grelhado(a)/brasa/churrasco,199,"36,12",5,-,-
7101202,Fraldinha (capa de filé),4,Assado(a),199,"36,12",5,-,-
7101202,Fraldinha (capa de filé),5,Frito(a),"221,66","36,12","7,56",-,-
7101203,Aba de filé,1,Cru(a),242,"24,22","15,42",-,-
7101203,Aba de filé,3,Grelhado(a)/brasa/churrasco,242,"24,22","15,42",-,-
7101203,Aba de filé,5,Frito(a),"264,66","24,22","17,98",-,-
7101301,Costela bovina,2,Cozido(a),365,"22,6","29,79",-,-
7101301,Costela bovina,4,Assado(a),365,"22,6","29,79",-,-
7101301,Costela bovina,7,Refogado(a),365,"22,6","29,79",-,-
7101301,Costela bovina,13,Ensopado,365,"22,6","29,79",-,-
7101704,Jacaré (carne bovina de segunda c/ osso),2,Cozido(a),365,"22,6","29,79",-,-
7101704,Jacaré (carne bovina de segunda c/ osso),4,Assado(a),365,"22,6","29,79",-,-
7101704,Jacaré (carne bovina de segunda c/ osso),5,Frito(a),365,"22,6","29,79",-,-
7101706,Filé de segunda,3,Grelhado(a)/brasa/churrasco,242,"24,22","15,42",-,-
7101706,Filé de segunda,4,Assado(a),242,"24,22","15,42",-,-
7101706,Filé de segunda,5,Frito(a),"264,66","24,22","17,98",-,-
7101706,Filé de segunda,6,Empanado(a)/à milanesa,"280,84","24,68","18,03","3,39","0,14"
7101706,Filé de segunda,10,Ao alho e óleo,"264,66","24,22","17,98",-,-
7101801,Víscera bovina,2,Cozido(a),191,"29,08","5,26","5,13",-
7101801,Víscera bovina,5,Frito(a),"213,66","29,08","7,82","5,13",-
7101806,Panelada (vísceras bovinas não especificadas),2,Cozido(a),"100,04","13,98","2,96","4,18","0,62"
7101806,Panelada (vísceras bovinas não especificadas),13,Ensopado,"100,04","13,98","2,96","4,18","0,62"
7101901,Coração bovino,2,Cozido(a),165,"28,48","4,73","0,15",-
7101901,Coração bovino,3,Grelhado(a)/brasa/churrasco,165,"28,48","4,73","0,15",-
7101901,Coração bovino,4,Assado(a),165,"28,48","4,73","0,15",-
7101901,Coração bovino,5,Frito(a),"187,66","28,48","7,29","0,15",-
7102001,Rim de boi,2,Cozido(a),158,"27,27","4,65",-,-
7102102,Bofe bovino,4,Assado(a),158,"27,27","4,65",-,-
7102102,Bofe bovino,5,Frito(a),"180,66","27,27","7,21",-,-
7102102,Bofe bovino,7,Refogado(a),"180,66","27,27","7,21",-,-
7102201,Miolo de boi,2,Cozido(a),151,"11,67","10,53","1,48",-
7102401,Tripa bovina,2,Cozido(a),94,"11,71","4,05","1,99",-
7102401,Tripa bovina,3,Grelhado(a)/brasa/churrasco,94,"11,71","4,05","1,99",-
7102401,Tripa bovina,4,Assado(a),94,"11,71","4,05","1,99",-
7102401,Tripa bovina,5,Frito(a),"116,66","11,71","6,61","1,99",-
7102402,Dobradinha fresca,2,Cozido(a),94,"11,71","4,05","1,99",-
7102402,Dobradinha fresca,4,Assado(a),94,"11,71","4,05","1,99",-
7102402,Dobradinha fresca,8,Molho vermelho,80,"9,63","3,28","2,67","0,3"
7102402,Dobradinha fresca,13,Ensopado,"116,66","11,71","6,61","1,99",-
7102402,Dobradinha fresca,99,Não se aplica,94,"11,71","4,05","1,99",-
7102403,Fato bovino,2,Cozido(a),94,"11,71","4,05","1,99",-
7102403,Fato bovino,5,Frito(a),"116,66","11,71","6,61","1,99",-
7102404,Fato caprino,2,Cozido(a),94,"11,71","4,05","1,99",-
7102501,Fígado bovino,1,Cru(a),191,"29,08","5,26","5,13",-
7102501,Fígado bovino,2,Cozido(a),191,"29,08","5,26","5,13",-
7102501,Fígado bovino,3,Grelhado(a)/brasa/churrasco,191,"29,08","5,26","5,13",-
7102501,Fígado bovino,4,Assado(a),191,"29,08","5,26","5,13",-
7102501,Fígado bovino,5,Frito(a),"213,66","29,08","7,82","5,13",-
7102501,Fígado bovino,6,Empanado(a)/à milanesa,"229,84","29,54","7,87","8,52","0,14"
7102501,Fígado bovino,7,Refogado(a),"213,66","29,08","7,82","5,13",-
7102501,Fígado bovino,8,Molho vermelho,"157,6","23,53","4,24","5,18","0,3"
7102501,Fígado bovino,10,Ao alho e óleo,"213,66","29,08","7,82","5,13",-
7102501,Fígado bovino,13,Ensopado,"213,66","29,08","7,82","5,13",-
7102601,Cupim,3,Grelhado(a)/brasa/churrasco,"330,1","28,63","23,04",-,-
7102601,Cupim,4,Assado(a),"330,1","28,63","23,04",-,-
7102601,Cupim,5,Frito(a),"363,08","26,91","27,63",-,-
7102701,Língua bovina,2,Cozido(a),284,"19,29","22,3",-,-
7102701,Língua bovina,3,Grelhado(a)/brasa/churrasco,284,"19,29","22,3",-,-
7102701,Língua bovina,4,Assado(a),284,"19,29","22,3",-,-
7102701,Língua bovina,5,Frito(a),"306,66","19,29","24,86",-,-
7102701,Língua bovina,8,Molho vermelho,232,"15,7","17,88","1,08","0,3"
7102701,Língua bovina,13,Ensopado,"306,66","19,29","24,86",-,-
7102801,Rabada de boi,99,Não se aplica,365,"22,6","29,79",-,-
7103101,Mocotó bovino,2,Cozido(a),214,"28,81","10,13",-,-
7103101,Mocotó bovino,13,Ensopado,214,"28,81","10,13",-,-
7103101,Mocotó bovino,15,Sopa,"63,94","3,81","1,81","7,73","0,39"
7103101,Mocotó bovino,99,Não se aplica,214,"28,81","10,13",-,-
7103104,Braço bovino,5,Frito(a),"221,66","36,12","7,56",-,-
7103105,Mão bovina,2,Cozido(a),214,"28,81","10,13",-,-
7103301,Carré,2,Cozido(a),397,"29,06","30,3",-,-
7103301,Carré,3,Grelhado(a)/brasa/churrasco,397,"29,06","30,3",-,-
7103301,Carré,4,Assado(a),397,"29,06","30,3",-,-
7103301,Carré,5,Frito(a),397,"29,06","30,3",-,-
7103305,Bisteca suína,2,Cozido(a),397,"29,06","30,3",-,-
7103305,Bisteca suína,3,Grelhado(a)/brasa/churrasco,397,"29,06","30,3",-,-
7103305,Bisteca suína,4,Assado(a),397,"29,06","30,3",-,-
7103305,Bisteca suína,5,Frito(a),397,"29,06","30,3",-,-
7103305,Bisteca suína,6,Empanado(a)/à milanesa,397,"29,06","30,3",-,-
7103305,Bisteca suína,7,Refogado(a),397,"29,06","30,3",-,-
7103305,Bisteca suína,99,Não se aplica,397,"29,06","30,3",-,-
7103401,Pernil suíno,2,Cozido(a),289,"25,34","20,06",-,-
7103401,Pernil suíno,4,Assado(a),289,"25,34","20,06",-,-
7103401,Pernil suíno,5,Frito(a),"338,57","25,34","25,67",-,-
7103401,Pernil suíno,7,Refogado(a),"338,57","25,34","25,67",-,-
7103403,Quarto suíno,2,Cozido(a),289,"25,34","20,06",-,-
7103501,Costela suína,1,Cru(a),397,"29,06","30,3",-,-
7103501,Costela suína,2,Cozido(a),397,"29,06","30,3",-,-
7103501,Costela suína,3,Grelhado(a)/brasa/churrasco,397,"29,06","30,3",-,-
7103501,Costela suína,4,Assado(a),397,"29,06","30,3",-,-
7103501,Costela suína,5,Frito(a),397,"29,06","30,3",-,-
7103501,Costela suína,7,Refogado(a),397,"29,06","30,3",-,-
7103501,Costela suína,8,Molho vermelho,"322,4","23,51","24,28","1,08","0,3"
7103501,Costela suína,13,Ensopado,397,"29,06","30,3",-,-
7103501,Costela suína,99,Não se aplica,397,"29,06","30,3",-,-
7103701,Lombo suíno,2,Cozido(a),289,"25,34","20,06",-,-
7103701,Lombo suíno,3,Grelhado(a)/brasa/churrasco,289,"25,34","20,06",-,-
7103701,Lombo suíno,4,Assado(a),289,"25,34","20,06",-,-
7103701,Lombo suíno,5,Frito(a),"338,57","25,34","25,67",-,-
7103801,Toucinho,99,Não se aplica,541,"37,04","41,78","1,43",-
7103903,Míudo suíno,2,Cozido(a),165,"26,02","4,4","3,76",-
7103906,Arrasto suíno,99,Não se aplica,"100,04","13,98","2,96","4,18","0,62"
7103907,Sarapatel suíno fresco,99,Não se aplica,"100,04","13,98","2,96","4,18","0,62"
7104101,Carne suína,1,Cru(a),289,"25,34","20,06",-,-
7104101,Carne suína,2,Cozido(a),289,"25,34","20,06",-,-
7104101,Carne suína,3,Grelhado(a)/brasa/churrasco,289,"25,34","20,06",-,-
7104101,Carne suína,4,Assado(a),289,"25,34","20,06",-,-
7104101,Carne suína,5,Frito(a),"338,57","25,34","25,67",-,-
7104101,Carne suína,6,Empanado(a)/à milanesa,"338,57","25,34","25,67",-,-
7104101,Carne suína,7,Refogado(a),"338,57","25,34","25,67",-,-
7104101,Carne suína,8,Molho vermelho,236,"20,54","16,08","1,08","0,3"
7104101,Carne suína,10,Ao alho e óleo,"338,57","25,34","25,67",-,-
7104101,Carne suína,13,Ensopado,"338,57","25,34","25,67",-,-
7104101,Carne suína,99,Não se aplica,289,"25,34","20,06",-,-
7104301,Carne moída,1,Cru(a),214,"26,62","11,1",-,-
7104301,Carne moída,2,Cozido(a),214,"26,62","11,1",-,-
7104301,Carne moída,4,Assado(a),214,"26,62","11,1",-,-
7104301,Carne moída,5,Frito(a),"236,66","26,62","13,66",-,-
7104301,Carne moída,6,Empanado(a)/à milanesa,"236,66","26,62","13,66",-,-
7104301,Carne moída,7,Refogado(a),"236,66","26,62","13,66",-,-
7104301,Carne moída,8,Molho vermelho,176,"21,56","8,92","1,08","0,3"
7104301,Carne moída,9,Molho branco,"203,79","22,08","11,37","1,85","0,04"
7104301,Carne moída,10,Ao alho e óleo,"236,66","26,62","13,66",-,-
7104301,Carne moída,13,Ensopado,"236,66","26,62","13,66",-,-
7104301,Carne moída,15,Sopa,"63,94","3,81","1,81","7,73","0,39"
7104301,Carne moída,99,Não se aplica,214,"26,62","11,1",-,-
7104302,Guisado,99,Não se aplica,242,"24,22","15,42",-,-
7104501,Tripa suína,3,Grelhado(a)/brasa/churrasco,233,"12,49","20,32",-,-
7104501,Tripa suína,5,Frito(a),"255,66","12,49","22,88",-,-
7104601,Figado suíno,2,Cozido(a),165,"26,02","4,4","3,76",-
7104601,Figado suíno,4,Assado(a),165,"26,02","4,4","3,76",-
7104601,Figado suíno,5,Frito(a),"187,66","26,02","6,96","3,76",-
7104701,Língua suína,2,Cozido(a),271,"24,1","18,6",-,-
7104701,Língua suína,3,Grelhado(a)/brasa/churrasco,271,"24,1","18,6",-,-
7104701,Língua suína,4,Assado(a),271,"24,1","18,6",-,-
7104701,Língua suína,5,Frito(a),"293,66","24,1","21,16",-,-
7104701,Língua suína,7,Refogado(a),"293,66","24,1","21,16",-,-
7105001,Orelha suína fresca,2,Cozido(a),214,"28,81","10,13",-,-
7105103,Sarrabulho,99,Não se aplica,"100,04","13,98","2,96","4,18","0,62"
7105203,Mocotó suíno,2,Cozido(a),214,"28,81","10,13",-,-
7105401,Carne de cabrito,2,Cozido(a),143,"27,1","3,03",-,-
7105401,Carne de cabrito,3,Grelhado(a)/brasa/churrasco,143,"27,1","3,03",-,-
7105401,Carne de cabrito,4,Assado(a),143,"27,1","3,03",-,-
7105402,Carne de bode,2,Cozido(a),143,"27,1","3,03",-,-
7105402,Carne de bode,3,Grelhado(a)/brasa/churrasco,143,"27,1","3,03",-,-
7105402,Carne de bode,4,Assado(a),143,"27,1","3,03",-,-
7105402,Carne de bode,5,Frito(a),"165,66","27,1","5,59",-,-
7105403,Carne caprina,2,Cozido(a),143,"27,1","3,03",-,-
7105403,Carne caprina,4,Assado(a),143,"27,1","3,03",-,-
7105403,Carne caprina,5,Frito(a),"165,66","27,1","5,59",-,-
7105403,Carne caprina,13,Ensopado,"165,66","27,1","5,59",-,-
7105405,Carne de caprino,1,Cru(a),143,"27,1","3,03",-,-
7105405,Carne de caprino,2,Cozido(a),143,"27,1","3,03",-,-
7105405,Carne de caprino,5,Frito(a),"165,66","27,1","5,59",-,-
7105601,Carne de carneiro,2,Cozido(a),204,"28,35","9,17",-,-
7105601,Carne de carneiro,3,Grelhado(a)/brasa/churrasco,204,"28,35","9,17",-,-
7105601,Carne de carneiro,4,Assado(a),204,"28,35","9,17",-,-
7105601,Carne de carneiro,5,Frito(a),"253,57","28,35","14,78",-,-
7105601,Carne de carneiro,13,Ensopado,"253,57","28,35","14,78",-,-
7105602,Carne de ovelha,2,Cozido(a),204,"28,35","9,17",-,-
7105602,Carne de ovelha,3,Grelhado(a)/brasa/churrasco,204,"28,35","9,17",-,-
7105602,Carne de ovelha,4,Assado(a),204,"28,35","9,17",-,-
7105602,Carne de ovelha,5,Frito(a),"253,57","28,35","14,78",-,-
7105801,Mocotó de caprino,2,Cozido(a),214,"28,81","10,13",-,-
7106301,Pernil,2,Cozido(a),289,"25,34","20,06",-,-
7106301,Pernil,3,Grelhado(a)/brasa/churrasco,289,"25,34","20,06",-,-
7106301,Pernil,4,Assado(a),289,"25,34","20,06",-,-
7106301,Pernil,5,Frito(a),"338,57","25,34","25,67",-,-
7106401,Lagarto bovino,2,Cozido(a),199,"36,12",5,-,-
7106401,Lagarto bovino,4,Assado(a),199,"36,12",5,-,-
7106401,Lagarto bovino,5,Frito(a),"248,57","36,12","10,61",-,-
7106401,Lagarto bovino,7,Refogado(a),"248,57","36,12","10,61",-,-
7106401,Lagarto bovino,8,Molho vermelho,164,"29,16","4,04","1,08","0,3"
7106501,Alcatra suína,2,Cozido(a),289,"25,34","20,06",-,-
7106501,Alcatra suína,4,Assado(a),289,"25,34","20,06",-,-
7106501,Alcatra suína,5,Frito(a),"338,57","25,34","25,67",-,-
7107102,Brachola,99,Não se aplica,204,"30,67",9,-,-
7107103,Bife role cru,99,Não se aplica,204,"30,67",9,-,-
7107204,Buchada de bode,99,Não se aplica,125,"19,8","4,4",-,"3,9"
7107501,Suã suína,2,Cozido(a),397,"29,06","30,3",-,-
7107501,Suã suína,5,Frito(a),397,"29,06","30,3",-,-
7107601,Carne de outros animais,1,Cru(a),242,"24,22","15,42",-,-
7107601,Carne de outros animais,2,Cozido(a),242,"24,22","15,42",-,-
7107601,Carne de outros animais,3,Grelhado(a)/brasa/churrasco,242,"24,22","15,42",-,-
7107601,Carne de outros animais,4,Assado(a),242,"24,22","15,42",-,-
7107601,Carne de outros animais,5,Frito(a),"264,66","24,22","17,98",-,-
7107601,Carne de outros animais,7,Refogado(a),"264,66","24,22","17,98",-,-
7107601,Carne de outros animais,8,Molho vermelho,"198,4","19,64","12,37","1,08","0,3"
7107601,Carne de outros animais,13,Ensopado,"264,66","24,22","17,98",-,-
7107601,Carne de outros animais,99,Não se aplica,242,"24,22","15,42",-,-
7107603,Carne da paca,2,Cozido(a),212,"34,85","6,96",-,-
7107603,Carne da paca,4,Assado(a),212,"34,85","6,96",-,-
7107603,Carne da paca,5,Frito(a),"234,66","34,85","9,52",-,-
7107611,Carne de jacaré,2,Cozido(a),92,"19,4","1,6",-,-
7107611,Carne de jacaré,5,Frito(a),"114,66","19,4","4,16",-,-
7107615,Carne de capivara,2,Cozido(a),212,"34,85","6,96",-,-
7107615,Carne de capivara,4,Assado(a),212,"34,85","6,96",-,-
7107615,Carne de capivara,5,Frito(a),"234,66","34,85","9,52",-,-
7107617,Carne de cotia,2,Cozido(a),212,"34,85","6,96",-,-
7107617,Carne de cotia,4,Assado(a),212,"34,85","6,96",-,-
7107622,Carne de jabuti,2,Cozido(a),117,"24,16","1,53",-,-
7107801,Carne de primeira,2,Cozido(a),204,"30,67",9,-,-
7107801,Carne de primeira,3,Grelhado(a)/brasa/churrasco,204,"30,67",9,-,-
7107801,Carne de primeira,4,Assado(a),204,"30,67",9,-,-
7107801,Carne de primeira,5,Frito(a),"226,66","30,67","11,56",-,-
7107801,Carne de primeira,6,Empanado(a)/à milanesa,"242,84","31,13","11,61","3,39","0,14"
7107801,Carne de primeira,7,Refogado(a),"226,66","30,67","11,56",-,-
7107801,Carne de primeira,8,Molho vermelho,168,"24,8","7,24","1,08","0,3"
7107801,Carne de primeira,9,Molho branco,"195,79","25,32","9,69","1,85","0,04"
7107801,Carne de primeira,11,Com manteiga/óleo,"223,14","30,69","11,17",0,-
7107804,Chuleta,2,Cozido(a),204,"30,67",9,-,-
7107804,Chuleta,3,Grelhado(a)/brasa/churrasco,204,"30,67",9,-,-
7107804,Chuleta,4,Assado(a),204,"30,67",9,-,-
7107804,Chuleta,5,Frito(a),"226,66","30,67","11,56",-,-
7107805,Filé não especificado,1,Cru(a),204,"30,67",9,-,-
7107805,Filé não especificado,2,Cozido(a),204,"30,67",9,-,-
7107805,Filé não especificado,3,Grelhado(a)/brasa/churrasco,204,"30,67",9,-,-
7107805,Filé não especificado,4,Assado(a),204,"30,67",9,-,-
7107805,Filé não especificado,5,Frito(a),"226,66","30,67","11,56",-,-
